,page,doctorate,len_page,female,male,category,count,nobel_field
1278,Angelita Castro-Kelly,0,1242,True,False,21st-century_physicists,1,Physics
1279,Patrice Cellario,0,836,False,True,21st-century_physicists,1,Physics
1280,Yia-Chung Chang,0,587,False,True,21st-century_physicists,1,Physics
1281,Faouzia Charfi,0,870,True,False,21st-century_physicists,1,Physics
1282,Maxim Chernodub,0,1045,False,True,21st-century_physicists,1,Physics
1283,Lock Yue Chew,0,1276,False,True,21st-century_physicists,1,Physics
1284,Chia-Seng Chang,0,769,False,True,21st-century_physicists,1,Physics
1285,Ashot Chilingarian,0,1815,False,True,21st-century_physicists,1,Physics
1286,Matthew Choptuik,1,388,False,True,21st-century_physicists,1,Physics
1287,Mei-Yin Chou,0,1143,True,False,21st-century_physicists,1,Physics
1288,Jessie Christiansen,0,1935,True,False,21st-century_physicists,1,Physics
1289,Almadena Chtchelkanova,1,755,True,False,21st-century_physicists,1,Physics
1290,Kwang Hwa Chung,0,2034,True,False,21st-century_physicists,1,Physics
1291,Katarina Cicak,0,603,True,False,21st-century_physicists,1,Physics
1292,Juan Ignacio Cirac Sasturain,0,2405,False,True,21st-century_physicists,1,Physics
1293,Michael Coey,0,1732,False,True,21st-century_physicists,1,Physics
1294,Geneviève Comte-Bellot,0,1023,True,False,21st-century_physicists,1,Physics
1295,Anna Consortini,0,1029,True,False,21st-century_physicists,1,Physics
1296,Angioletta Coradini,0,1417,True,False,21st-century_physicists,1,Physics
1297,Leticia Corral,1,1167,True,False,21st-century_physicists,1,Physics
1298,Athena Coustenis,0,2120,True,False,21st-century_physicists,1,Physics
1299,John G. Cramer,1,2165,False,True,21st-century_physicists,1,Physics
1300,Eugène Cremmer,0,607,False,True,21st-century_physicists,1,Physics
1301,Giacomo Mauro D'Ariano,0,2562,False,True,21st-century_physicists,1,Physics
1302,Emanuela Del Gado,0,1749,True,False,21st-century_physicists,1,Physics
1303,Michel Della Negra,0,1612,False,True,21st-century_physicists,1,Physics
1304,Tekin Dereli,1,338,False,True,21st-century_physicists,1,Physics
1305,Simon Devitt,1,2500,False,True,21st-century_physicists,1,Physics
1306,Louise Dolan,1,1094,True,False,21st-century_physicists,1,Physics
1307,Claudia Draxl,0,1446,True,False,21st-century_physicists,1,Physics
1308,Andreas Dreizler,0,1111,False,True,21st-century_physicists,1,Physics
1309,Wiebke Drenckhan,0,994,True,False,21st-century_physicists,1,Physics
1310,Mildred Dresselhaus,0,9306,True,False,21st-century_physicists,1,Physics
1311,Gerhard Drolshagen,0,1678,False,True,21st-century_physicists,1,Physics
1312,Jacques Dubochet,0,3130,False,True,21st-century_physicists,1,Physics
1313,Mikhail Dyakonov,0,1075,False,True,21st-century_physicists,1,Physics
1314,Helen T. Edwards,0,1707,True,False,21st-century_physicists,1,Physics
1315,Ene Ergma,0,922,True,False,21st-century_physicists,1,Physics
1316,Bernard d'Espagnat,1,2152,False,True,21st-century_physicists,1,Physics
1317,Victor Sergeevich Fadin,0,1316,False,True,21st-century_physicists,1,Physics
1318,Randall M. Feenstra,0,892,False,True,21st-century_physicists,1,Physics
1319,Miguel Ángel Fernández Sanjuán,0,1923,False,True,21st-century_physicists,1,Physics
1320,Chris Ferrie,0,1464,False,True,21st-century_physicists,1,Physics
1321,Jonathan Finley,0,1590,False,True,21st-century_physicists,1,Physics
1322,Ettore Fiorini,0,1951,False,True,21st-century_physicists,1,Physics
1323,Ching-Yao Fong,0,638,False,True,21st-century_physicists,1,Physics
1324,Anamaría Font,0,1160,True,False,21st-century_physicists,1,Physics
1325,Paul Frampton,0,2482,False,True,21st-century_physicists,1,Physics
1326,Stuart Freedman,0,686,False,True,21st-century_physicists,1,Physics
1327,Axel Freimuth,0,2070,False,True,21st-century_physicists,1,Physics
1328,Jerome Isaac Friedman,1,2965,False,True,21st-century_physicists,1,Physics
1329,Serge Galam,1,839,False,True,21st-century_physicists,1,Physics
1330,Giulia Galli,0,1698,True,False,21st-century_physicists,1,Physics
1331,Ricardo Galvão,0,3260,False,True,21st-century_physicists,1,Physics
1332,Manuel García Velarde,0,1863,False,True,21st-century_physicists,1,Physics
1333,Shohini Ghose,1,2805,True,False,21st-century_physicists,1,Physics
1334,Elisabeth Giacobino,0,2938,True,False,21st-century_physicists,1,Physics
1335,Sharon Glotzer,0,2532,True,False,21st-century_physicists,1,Physics
1336,Claire F. Gmachl,1,1894,True,False,21st-century_physicists,1,Physics
1337,Adolf Goetzberger,0,705,False,True,21st-century_physicists,1,Physics
1338,Andrew V. Granato,1,1070,False,True,21st-century_physicists,1,Physics
1339,Celso Grebogi,0,1230,False,True,21st-century_physicists,1,Physics
1340,Walter Greiner,0,1740,False,True,21st-century_physicists,1,Physics
1341,Mike Gruntman,1,2202,False,True,21st-century_physicists,1,Physics
1342,Sibylle Günter,0,1366,True,False,21st-century_physicists,1,Physics
1343,Vinay Gupta,0,2651,False,True,21st-century_physicists,1,Physics
1344,Rudolf Haag,0,2227,False,True,21st-century_physicists,1,Physics
1345,Laleh Haghverdi,1,919,True,False,21st-century_physicists,1,Physics
1346,Henry Hall (physicist),1,698,False,True,21st-century_physicists,1,Physics
1347,Gail Hanson,0,1049,True,False,21st-century_physicists,1,Physics
1348,Lene Hau,0,6180,True,False,21st-century_physicists,1,Physics
1349,Beate Heinemann,0,965,True,False,21st-century_physicists,1,Physics
1350,Tony Heinz,0,1552,False,True,21st-century_physicists,1,Physics
1351,Laura Herz,0,2026,True,False,21st-century_physicists,1,Physics
1352,Caroline Herzenberg,0,3042,True,False,21st-century_physicists,1,Physics
1353,Hanna von Hoerner,0,1988,True,False,21st-century_physicists,1,Physics
1354,Sigurd Hofmann,0,1700,False,True,21st-century_physicists,1,Physics
1355,John Hopfield,1,2223,False,True,21st-century_physicists,1,Physics
1356,Sabine Hossenfelder,0,3036,True,False,21st-century_physicists,1,Physics
1357,Marina Huerta,1,1387,True,False,21st-century_physicists,1,Physics
1358,Xavier Intes,1,852,False,True,21st-century_physicists,1,Physics
1359,Ratko Janev,0,1740,False,True,21st-century_physicists,1,Physics
1360,Melanie Johnston-Hollitt,0,2216,True,False,21st-century_physicists,1,Physics
1361,Dylan Jones (physicist),0,765,False,True,21st-century_physicists,1,Physics
1362,Bernard Julia,0,1166,False,True,21st-century_physicists,1,Physics
1363,Leo Kadanoff,0,2561,False,True,21st-century_physicists,1,Physics
1364,Tina Kahniashvili,1,897,True,False,21st-century_physicists,1,Physics
1365,Renata Kallosh,1,1696,True,False,21st-century_physicists,1,Physics
1366,Angelika Kalt,0,625,True,False,21st-century_physicists,1,Physics
1367,Fatoumata Kébé,0,1846,True,False,21st-century_physicists,1,Physics
1368,Geraldine A. Kenney-Wallace,1,721,True,False,21st-century_physicists,1,Physics
1369,Margaret G. Kivelson,1,3012,True,False,21st-century_physicists,1,Physics
1370,Gloria Suzanne Koenigsberger Horowitz,0,1692,True,False,21st-century_physicists,1,Physics
1371,Anatoliy Koroteyev,0,1043,False,True,21st-century_physicists,1,Physics
1372,Andrzej Kossakowski,0,1054,False,True,21st-century_physicists,1,Physics
1373,Elżbieta Kossecka,1,2207,True,False,21st-century_physicists,1,Physics
1374,Anke Kracke,0,854,True,False,21st-century_physicists,1,Physics
1375,Peter Kramer (physicist),0,1149,False,True,21st-century_physicists,1,Physics
1376,Kurt Kremer,0,1017,False,True,21st-century_physicists,1,Physics
1377,Daya Shankar Kulshreshtha,1,1120,False,True,21st-century_physicists,1,Physics
1378,Usha Kulshreshtha,1,1171,True,False,21st-century_physicists,1,Physics
1379,Jutta Kunz,1,1138,True,False,21st-century_physicists,1,Physics
1380,Antti Kupiainen,1,1803,False,True,21st-century_physicists,1,Physics
1381,Eduard A. Kuraev,0,1004,False,True,21st-century_physicists,1,Physics
1382,Anne-Marie Lagrange,0,2780,True,False,21st-century_physicists,1,Physics
1383,Ying-Cheng Lai,1,669,False,True,21st-century_physicists,1,Physics
1384,James S. Langer,1,1400,False,True,21st-century_physicists,1,Physics
1385,Lindsay LeBlanc,0,1241,True,False,21st-century_physicists,1,Physics
1386,Achim Leistner,0,838,False,True,21st-century_physicists,1,Physics
1387,Anneke Levelt Sengers,1,1178,True,False,21st-century_physicists,1,Physics
1388,Ching-Liang Lin,0,1239,True,False,21st-century_physicists,1,Physics
1389,Renate Loll,1,795,True,False,21st-century_physicists,1,Physics
1390,Cinna Lomnitz,0,2034,False,True,21st-century_physicists,1,Physics
1391,Jean-Pierre Luminet,0,3205,False,True,21st-century_physicists,1,Physics
1392,Joachim Luther,0,748,False,True,21st-century_physicists,1,Physics
1393,Martha Lux-Steiner,0,1240,True,False,21st-century_physicists,1,Physics
1394,Nancy Makri,1,2158,True,False,21st-century_physicists,1,Physics
1395,Rachel Mandelbaum,1,805,True,False,21st-century_physicists,1,Physics
1396,Andreas Mandelis,1,3055,False,True,21st-century_physicists,1,Physics
1397,Alfred K. Mann,0,1039,False,True,21st-century_physicists,1,Physics
1398,Alan Martin (physicist),0,1122,False,True,21st-century_physicists,1,Physics
1399,Luz Martinez-Miranda,0,791,True,False,21st-century_physicists,1,Physics
1400,Matej Pavšič,0,1805,False,True,21st-century_physicists,1,Physics
1401,Naomi McClure-Griffiths,0,1959,True,False,21st-century_physicists,1,Physics
1402,Laura Mersini-Houghton,1,1936,True,False,21st-century_physicists,1,Physics
1403,Dieter Meschede,0,1880,False,True,21st-century_physicists,1,Physics
1404,Raffaella Morganti,0,667,True,False,21st-century_physicists,1,Physics
1405,Warren B. Mori,1,1862,False,True,21st-century_physicists,1,Physics
1406,Harald J. W. Mueller-Kirsten,1,2334,False,True,21st-century_physicists,1,Physics
1407,Cherry A. Murray,1,2148,True,False,21st-century_physicists,1,Physics
1408,Nam Chang-hee,1,2862,False,True,21st-century_physicists,1,Physics
1409,Chiara Nappi,0,1183,True,False,21st-century_physicists,1,Physics
1410,Stephan Narison,0,3469,False,True,21st-century_physicists,1,Physics
1411,Homer Neal,1,2476,False,True,21st-century_physicists,1,Physics
1412,Marcia Neugebauer,0,1229,True,False,21st-century_physicists,1,Physics
1413,Florian Neukart,1,1775,False,True,21st-century_physicists,1,Physics
1414,Kōichirō Nishikawa,1,1614,False,True,21st-century_physicists,1,Physics
1415,Anna Maria Nobili,0,783,True,False,21st-century_physicists,1,Physics
1416,Peter Nordlander,0,1021,False,True,21st-century_physicists,1,Physics
1417,Alexandre Obertelli,0,1070,False,True,21st-century_physicists,1,Physics
1418,Yuri Oganessian,0,5118,False,True,21st-century_physicists,1,Physics
1419,Alexandra Olaya-Castro,0,2132,True,False,21st-century_physicists,1,Physics
1420,Xenia de la Ossa,0,1631,True,False,21st-century_physicists,1,Physics
1421,Luisa Ottolini,0,2395,True,False,21st-century_physicists,1,Physics
1422,Richard G. Palmer,0,1269,False,True,21st-century_physicists,1,Physics
1423,Alexander Pechen,0,1673,False,True,21st-century_physicists,1,Physics
1424,Orit Peleg,0,1182,True,False,21st-century_physicists,1,Physics
1425,Roger Penrose,0,12707,False,True,21st-century_physicists,1,Physics
1426,Matjaž Perc,0,4319,False,True,21st-century_physicists,1,Physics
1427,Ian C. Percival,0,1009,False,True,21st-century_physicists,1,Physics
1428,Isabel Piczek,0,910,True,False,21st-century_physicists,1,Physics
1429,Tuija Pulkkinen,1,979,True,False,21st-century_physicists,1,Physics
1430,Helen Quinn,0,5305,True,False,21st-century_physicists,1,Physics
1431,Jürgen P. Rabe,0,3527,False,True,21st-century_physicists,1,Physics
1432,Yuri Raizer,0,1148,False,True,21st-century_physicists,1,Physics
1433,Lisa Randall,0,2657,True,False,21st-century_physicists,1,Physics
1434,Ana Maria Rey,1,1409,True,False,21st-century_physicists,1,Physics
1435,Burton Richter,0,3885,False,True,21st-century_physicists,1,Physics
1436,Heike Riel,0,932,False,True,21st-century_physicists,1,Physics
1437,Mario Rocca,0,1134,False,True,21st-century_physicists,1,Physics
1438,Graham Ross (physicist),0,2000,False,True,21st-century_physicists,1,Physics
1439,Valery Rubakov,0,2972,True,False,21st-century_physicists,1,Physics
1440,Halina Rubinsztein-Dunlop,1,2057,True,False,21st-century_physicists,1,Physics
1441,Sinéad M. Ryan,1,2210,False,True,21st-century_physicists,1,Physics
1442,Dmitri Ryutov,1,2944,True,False,21st-century_physicists,1,Physics
1443,Rabia Salihu Sa'id,1,1017,False,True,21st-century_physicists,1,Physics
1444,Roberto Salmeron,1,2420,True,False,21st-century_physicists,1,Physics
1445,Myriam Sarachik,1,1645,False,True,21st-century_physicists,1,Physics
1446,Prem Saran Satsangi,0,1437,False,True,21st-century_physicists,1,Physics
1447,Victor Savrin,0,1431,False,True,21st-century_physicists,1,Physics
1448,Günter Schmahl,0,1896,False,True,21st-century_physicists,1,Physics
1449,Christian Schönenberger,0,1388,False,True,21st-century_physicists,1,Physics
1450,James F. Scott,0,694,True,False,21st-century_physicists,1,Physics
1451,Annabella Selloni,1,2252,False,True,21st-century_physicists,1,Physics
1452,Surajit Sen,1,1655,False,True,21st-century_physicists,1,Physics
1453,Andrew Sessler,1,3389,False,True,21st-century_physicists,1,Physics
1454,Joshua Shaevitz,0,1803,True,False,21st-century_physicists,1,Physics
1455,Phiala E. Shanahan,1,4500,True,False,21st-century_physicists,1,Physics
1456,Claudia Sheinbaum,0,528,False,True,21st-century_physicists,1,Physics
1457,Thorsteinn I. Sigfusson,0,855,False,True,21st-century_physicists,1,Physics
1458,Friedrich Simmel,0,1597,True,False,21st-century_physicists,1,Physics
1459,Simone Techert,0,1021,False,True,21st-century_physicists,1,Physics
1460,Uri Sivan,0,2838,False,True,21st-century_physicists,1,Physics
1461,Henry Snaith,0,1040,False,True,21st-century_physicists,1,Physics
1462,Bent Sørensen (physicist),1,2131,False,True,21st-century_physicists,1,Physics
1463,Leopoldo Soto Norambuena,0,1457,False,True,21st-century_physicists,1,Physics
1464,Hans Joachim Specht,0,1353,True,False,21st-century_physicists,1,Physics
1465,Artemis Spyrou,0,1728,True,False,21st-century_physicists,1,Physics
1466,Uschi Steigenberger,0,1647,False,True,21st-century_physicists,1,Physics
1467,Horst Stöcker,1,3676,False,True,21st-century_physicists,1,Physics
1468,Edward C. Stone,1,4645,True,False,21st-century_physicists,1,Physics
1469,Donna Strickland,0,668,True,False,21st-century_physicists,1,Physics
1470,Anja Strømme,0,1327,False,True,21st-century_physicists,1,Physics
1471,Boris Struminsky,1,1695,False,True,21st-century_physicists,1,Physics
1472,Atsuto Suzuki,1,1542,False,True,21st-century_physicists,1,Physics
1474,Karl Svozil,0,2038,False,True,21st-century_physicists,1,Physics
1475,Tang Dingyuan,1,1440,True,False,21st-century_physicists,1,Physics
1476,Kandice Tanner,1,1156,False,True,21st-century_physicists,1,Physics
1477,Bo Thidé,0,1969,True,False,21st-century_physicists,1,Physics
1478,Valerie Thomas,0,1498,False,True,21st-century_physicists,1,Physics
1479,Stefan Thurner,0,176,False,True,21st-century_physicists,1,Physics
1480,Gašper Tkačik,1,1345,True,False,21st-century_physicists,1,Physics
1481,Eleonora Troja,1,1116,False,True,21st-century_physicists,1,Physics
1482,Jaw-Shen Tsai,0,955,True,False,21st-century_physicists,1,Physics
1483,Stefanie Tschegg,0,1683,False,True,21st-century_physicists,1,Physics
1484,Michael Turner (cosmologist),0,753,True,False,21st-century_physicists,1,Physics
1485,Toktayum Umetalieva,0,1266,False,True,21st-century_physicists,1,Physics
1486,Rupert Ursin,0,995,False,True,21st-century_physicists,1,Physics
1487,Jonas Vaiškūnas,0,2580,False,True,21st-century_physicists,1,Physics
1488,Martinus J. G. Veltman,0,1990,True,False,21st-century_physicists,1,Physics
1489,Licia Verde,1,1541,True,False,21st-century_physicists,1,Physics
1490,Ramona Vogt,0,2532,False,True,21st-century_physicists,1,Physics
1491,Vitaly Voloshinov,0,304,False,True,21st-century_physicists,1,Physics
1492,Andreas Solberg Wahl,0,783,True,False,21st-century_physicists,1,Physics
1493,Linda Walsh,1,1707,True,False,21st-century_physicists,1,Physics
1494,Wang Yening,1,984,False,True,21st-century_physicists,1,Physics
1495,George D. Watkins,0,1471,True,False,21st-century_physicists,1,Physics
1496,Rachel Webster,1,1441,True,False,21st-century_physicists,1,Physics
1497,Stephanie Wehner,0,855,True,False,21st-century_physicists,1,Physics
1498,Mariana Weissmann,1,335,True,False,21st-century_physicists,1,Physics
1499,Katrin Wendland,0,1681,False,True,21st-century_physicists,1,Physics
1500,John Wheater,1,1320,False,True,21st-century_physicists,1,Physics
1501,Roland Wiesendanger,0,1213,False,True,21st-century_physicists,1,Physics
1502,Guy Wilkinson (physicist),1,5439,False,True,21st-century_physicists,1,Physics
1503,Edward Witten,1,1695,True,False,21st-century_physicists,1,Physics
1504,Sau Lan Wu,0,902,False,True,21st-century_physicists,1,Physics
1505,Xiangdong Ji,1,1373,False,True,21st-century_physicists,1,Physics
1506,Masaaki Yamada,0,854,True,False,21st-century_physicists,1,Physics
1507,Lan Yang,0,2217,False,True,21st-century_physicists,1,Physics
1508,Taha Yasseri,0,986,True,False,21st-century_physicists,1,Physics
1509,Fumiko Yonezawa,0,1146,False,True,21st-century_physicists,1,Physics
1510,Kenneth Young (physicist),0,647,False,True,21st-century_physicists,1,Physics
1511,Jian-Min Yuan (physicist),0,1793,False,True,21st-century_physicists,1,Physics
1512,Zeng Rongsheng,0,941,True,False,21st-century_physicists,1,Physics
1513,Annette Zippelius,0,807,True,False,21st-century_physicists,1,Physics
1515,Hasan Abdullayev,0,5228,False,True,20th-century_physicists,1,Physics
1516,Max Abraham,0,1613,False,True,20th-century_physicists,1,Physics
1517,Evgeny Aramovich Abramyan,0,1147,False,True,20th-century_physicists,1,Physics
1518,Alexei Alexeyevich Abrikosov,1,3034,False,True,20th-century_physicists,1,Physics
1519,Vadym Adamyan,0,606,False,True,20th-century_physicists,1,Physics
1520,Fay Ajzenberg-Selove,0,3906,True,False,20th-century_physicists,1,Physics
1521,Rosa Luz Alegría,0,651,True,False,20th-century_physicists,1,Physics
1522,Aleksandr Danilovich Aleksandrov,1,2202,False,True,20th-century_physicists,1,Physics
1523,Anatoly Alexandrov (physicist),0,2758,False,True,20th-century_physicists,1,Physics
1524,Vladimir Alexandrov,0,1927,False,True,20th-century_physicists,1,Physics
1525,Zhores Alferov,0,4436,False,True,20th-century_physicists,1,Physics
1526,Abram Alikhanov,0,7737,False,True,20th-century_physicists,1,Physics
1527,Yakov Alpert,0,1344,False,True,20th-century_physicists,1,Physics
1528,Boris Altshuler,1,1448,False,True,20th-century_physicists,1,Physics
1529,Jules Andrade,0,860,False,True,20th-century_physicists,1,Physics
1530,Elephter Andronikashvili,0,1148,False,True,20th-century_physicists,1,Physics
1531,Aleksandr Andronov,0,747,False,True,20th-century_physicists,1,Physics
1532,Alexey Andreevich Anselm,0,2821,False,True,20th-century_physicists,1,Physics
1533,Edward Victor Appleton,0,4831,False,True,20th-century_physicists,1,Physics
1534,Bunsaku Arakatsu,0,1616,False,True,20th-century_physicists,1,Physics
1535,Manfred von Ardenne,0,5152,False,True,20th-century_physicists,1,Physics
1536,Anthony Schuyler Arrott,0,1156,False,True,20th-century_physicists,1,Physics
1537,Lev Artsimovich,0,1200,False,True,20th-century_physicists,1,Physics
1538,Ernest Arushanov,0,1796,False,True,20th-century_physicists,1,Physics
1539,Sonja Ashauer,0,890,True,False,20th-century_physicists,1,Physics
1540,Gurgen Askaryan,0,3790,False,True,20th-century_physicists,1,Physics
1541,Cornelis Bakker,0,1072,False,True,20th-century_physicists,1,Physics
1542,Alexander Balankin,0,4113,False,True,20th-century_physicists,1,Physics
1543,Milla Baldo-Ceolin,0,1424,True,False,20th-century_physicists,1,Physics
1544,Charles Glover Barkla,0,2656,False,True,20th-century_physicists,1,Physics
1545,Howard Turner Barnes,0,1411,False,True,20th-century_physicists,1,Physics
1546,Heinz Barwich,1,3296,False,True,20th-century_physicists,1,Physics
1547,Vladimir Baryshevsky,1,1926,False,True,20th-century_physicists,1,Physics
1548,Nikolay Basov,0,2556,False,True,20th-century_physicists,1,Physics
1549,Friedrich Beck,1,2003,False,True,20th-century_physicists,1,Physics
1550,Richard Becker (physicist),0,1778,False,True,20th-century_physicists,1,Physics
1551,Henri Becquerel,0,4665,False,True,20th-century_physicists,1,Physics
1552,Viacheslav Belavkin,0,791,False,True,20th-century_physicists,1,Physics
1553,John Stewart Bell,1,5084,False,True,20th-century_physicists,1,Physics
1554,Pavel Belov (physicist),1,1187,False,True,20th-century_physicists,1,Physics
1555,Spartak Belyaev,0,798,False,True,20th-century_physicists,1,Physics
1556,Paul Benioff,1,3074,False,True,20th-century_physicists,1,Physics
1557,Felix Berezin,0,997,False,True,20th-century_physicists,1,Physics
1558,Vadim Berezinskii,0,825,False,True,20th-century_physicists,1,Physics
1559,Stepan Beril,0,95,False,True,20th-century_physicists,1,Physics
1560,Étienne Biéler,0,1845,False,True,20th-century_physicists,1,Physics
1561,Patrick Blackett,0,5809,False,True,20th-century_physicists,1,Physics
1562,Anatoly Blagonravov,0,1077,False,True,20th-century_physicists,1,Physics
1563,Marietta Blau,0,1746,True,False,20th-century_physicists,1,Physics
1564,Lili Bleeker,1,1781,True,False,20th-century_physicists,1,Physics
1565,Detlef Blöcher,0,1018,False,True,20th-century_physicists,1,Physics
1566,Nikolay Bogolyubov,1,6306,False,True,20th-century_physicists,1,Physics
1567,Niels Bohr,0,16258,False,True,20th-century_physicists,1,Physics
1568,Victor Borisov,0,936,False,True,20th-century_physicists,1,Physics
1569,Max Born,1,11566,False,True,20th-century_physicists,1,Physics
1570,Lyle Benjamin Borst,0,2104,False,True,20th-century_physicists,1,Physics
1571,Emil Bose,0,582,False,True,20th-century_physicists,1,Physics
1572,Margrete Heiberg Bose,0,1116,True,False,20th-century_physicists,1,Physics
1573,Walther Bothe,0,6642,False,True,20th-century_physicists,1,Physics
1574,Alexandre Bouzdine,1,2757,False,True,20th-century_physicists,1,Physics
1575,Lawrence Bragg,0,6968,False,True,20th-century_physicists,1,Physics
1576,William Henry Bragg,0,6609,False,True,20th-century_physicists,1,Physics
1577,Herman Branover,1,1886,False,True,20th-century_physicists,1,Physics
1578,Karl Ferdinand Braun,0,2941,False,True,20th-century_physicists,1,Physics
1579,Max C. Brewer,0,1938,False,True,20th-century_physicists,1,Physics
1580,Eugen Brodhun,0,311,False,True,20th-century_physicists,1,Physics
1581,Louis de Broglie,1,7097,False,True,20th-century_physicists,1,Physics
1582,Matvei Petrovich Bronstein,0,1256,False,True,20th-century_physicists,1,Physics
1583,Harriet Brooks,0,2380,True,False,20th-century_physicists,1,Physics
1584,Georges Bruhat,0,1254,False,True,20th-century_physicists,1,Physics
1585,Gersh Budker,0,988,False,True,20th-century_physicists,1,Physics
1586,Yvette Cauchois,0,2132,True,False,20th-century_physicists,1,Physics
1587,James Chadwick,0,12650,False,True,20th-century_physicists,1,Physics
1588,Valery Chalidze,0,4278,False,True,20th-century_physicists,1,Physics
1589,Sergey Chaplygin,0,764,False,True,20th-century_physicists,1,Physics
1590,Georges Charpak,0,3121,False,True,20th-century_physicists,1,Physics
1591,Pavel Cherenkov,0,2115,False,True,20th-century_physicists,1,Physics
1592,Gennady Chibisov,0,699,False,True,20th-century_physicists,1,Physics
1593,Boris Chirikov,0,1704,False,True,20th-century_physicists,1,Physics
1594,Yvonne Choquet-Bruhat,0,3487,True,False,20th-century_physicists,1,Physics
1595,Aleksandr Chudakov,0,914,False,True,20th-century_physicists,1,Physics
1596,John Cockcroft,0,9325,False,True,20th-century_physicists,1,Physics
1597,Esther M. Conwell,1,4256,True,False,20th-century_physicists,1,Physics
1598,Eugenio Curiel,0,2763,False,True,20th-century_physicists,1,Physics
1599,Viktor Davidenko,0,1892,False,True,20th-century_physicists,1,Physics
1600,Clinton Davisson,1,2538,False,True,20th-century_physicists,1,Physics
1601,Nikolai Borisovich Delone,1,934,False,True,20th-century_physicists,1,Physics
1602,Yuri Nikolaevich Denisyuk,0,974,False,True,20th-century_physicists,1,Physics
1603,Henri-Alexandre Deslandres,0,1336,False,True,20th-century_physicists,1,Physics
1604,Snegulka Detoni,0,633,True,False,20th-century_physicists,1,Physics
1605,Cécile DeWitt-Morette,1,2317,True,False,20th-century_physicists,1,Physics
1606,Simonetta Di Pippo,0,1972,True,False,20th-century_physicists,1,Physics
1607,Nikolay Dikansky,1,273,False,True,20th-century_physicists,1,Physics
1608,Viktor Dilman,0,1377,False,True,20th-century_physicists,1,Physics
1609,Cheikh Anta Diop,0,15626,False,True,20th-century_physicists,1,Physics
1610,Paul Dirac,0,12284,False,True,20th-century_physicists,1,Physics
1611,Nikolay Dollezhal,0,1123,False,True,20th-century_physicists,1,Physics
1612,Klara Döpel,0,1655,True,False,20th-century_physicists,1,Physics
1613,Robert Döpel,0,3611,False,True,20th-century_physicists,1,Physics
1614,Friedrich Ernst Dorn,0,1463,False,True,20th-century_physicists,1,Physics
1615,Nancy M. Dowdy,0,1278,True,False,20th-century_physicists,1,Physics
1616,Steve Edwards (physicist),0,697,False,True,20th-century_physicists,1,Physics
1617,Magda Ericson,0,1108,True,False,20th-century_physicists,1,Physics
1618,Dilhan Eryurt,0,1663,True,False,20th-century_physicists,1,Physics
1619,Abraham Esau,0,4373,False,True,20th-century_physicists,1,Physics
1620,Ludvig Faddeev,0,2490,False,True,20th-century_physicists,1,Physics
1621,Mikhail Fedoruk,0,252,False,True,20th-century_physicists,1,Physics
1623,Lev Fink,0,314,False,True,20th-century_physicists,1,Physics
1624,Fiodar Fiodaraŭ,0,364,False,True,20th-century_physicists,1,Physics
1625,Oleg Firsov,0,1694,False,True,20th-century_physicists,1,Physics
1626,Erich Fischer,0,1493,False,True,20th-century_physicists,1,Physics
1627,Fritz Fischer (physicist),1,475,False,True,20th-century_physicists,1,Physics
1628,Arnold Flammersfeld,0,1546,False,True,20th-century_physicists,1,Physics
1629,Rudolf Fleischmann,0,2976,False,True,20th-century_physicists,1,Physics
1630,Siegfried Flügge,0,2974,False,True,20th-century_physicists,1,Physics
1631,Georgy Flyorov,0,1741,False,True,20th-century_physicists,1,Physics
1632,Vladimir Fock,0,690,False,True,20th-century_physicists,1,Physics
1633,James Franck,0,7266,False,True,20th-century_physicists,1,Physics
1634,David A. Frank-Kamenetskii,0,1735,False,True,20th-century_physicists,1,Physics
1635,Ilya Frank,0,2208,False,True,20th-century_physicists,1,Physics
1636,Ursula Franklin,1,11208,True,False,20th-century_physicists,1,Physics
1637,Joan Maie Freeman,0,1033,True,False,20th-century_physicists,1,Physics
1638,Yakov Frenkel,0,2303,False,True,20th-century_physicists,1,Physics
1639,Alexei Fridman,1,3850,False,True,20th-century_physicists,1,Physics
1640,Alexander Friedmann,0,2783,False,True,20th-century_physicists,1,Physics
1641,Vladimir Fyodorov (actor),0,672,False,True,20th-century_physicists,1,Physics
1642,Nadiashda Galli-Shohat,0,1041,True,False,20th-century_physicists,1,Physics
1643,Grigory Gamburtsev,0,1106,False,True,20th-century_physicists,1,Physics
1644,George Gamow,0,6973,False,True,20th-century_physicists,1,Physics
1646,Gregory Garibian,0,2257,False,True,20th-century_physicists,1,Physics
1647,Hans Geiger,0,2038,False,True,20th-century_physicists,1,Physics
1648,Wolfgang Gentner,0,2002,False,True,20th-century_physicists,1,Physics
1649,Andrey Aleksandrovich Gershun,1,4012,False,True,20th-century_physicists,1,Physics
1650,Vitaly Ginzburg,1,7316,True,False,20th-century_physicists,1,Physics
1651,Maria Goeppert Mayer,0,705,False,True,20th-century_physicists,1,Physics
1652,Gerhard W. Goetze,1,1974,True,False,20th-century_physicists,1,Physics
1653,Gertrude Scharff Goldhaber,0,1372,False,True,20th-century_physicists,1,Physics
1654,Georgy Golitsyn,0,2056,False,True,20th-century_physicists,1,Physics
1655,Fritz Goos,0,1740,False,True,20th-century_physicists,1,Physics
1656,Vladimir Gribov,0,670,False,True,20th-century_physicists,1,Physics
