,page,field,count_female_words,count_male_words,count_nonbinary_words,doctorate,len_page
3142,Charles Reinhardt,20th-century_British_medical_doctors,0,7,0,0,373
3143,Francis Reitmann,20th-century_British_medical_doctors,12,0,1,0,894
3144,Attracta Rewcastle,20th-century_British_medical_doctors,1,8,1,0,1023
3145,"John Richardson, Baron Richardson",20th-century_British_medical_doctors,0,24,0,0,1144
3146,James Frederic Riley,20th-century_British_medical_doctors,0,9,0,0,764
3147,Marks Ripka,20th-century_British_medical_doctors,0,18,1,0,959
3148,Anthony Elliot Ritchie,20th-century_British_medical_doctors,0,10,0,0,925
3149,Manjeet Singh Riyat,20th-century_British_medical_doctors,0,16,0,0,1017
3150,Charles Hubert Roberts,20th-century_British_medical_doctors,0,3,0,0,177
3151,Arthur Leyland Robinson,20th-century_British_medical_doctors,1,0,0,0,732
3152,Louise Robinson,20th-century_British_medical_doctors,1,21,4,0,575
3153,George Rodocanachi,20th-century_British_medical_doctors,0,10,0,0,2067
3154,Geoffrey Rose (epidemiologist),20th-century_British_medical_doctors,0,8,2,0,1298
3155,Herbert Rosenfeld,20th-century_British_medical_doctors,0,13,0,0,1510
3156,Max Rosenheim,20th-century_British_medical_doctors,0,25,3,0,2293
3157,F. W. Forbes Ross,20th-century_British_medical_doctors,3,45,1,0,2104
3158,James Ness MacBean Ross,20th-century_British_medical_doctors,2,180,7,0,8673
3159,Ronald Ross,20th-century_British_medical_doctors,0,2,0,0,208
3160,Donald Whatley Roy,20th-century_British_medical_doctors,0,21,0,0,1555
3161,James Samuel Risien Russell,20th-century_British_medical_doctors,0,5,0,0,742
3162,Sheridan Russell,20th-century_British_medical_doctors,68,214,24,0,12116
3163,Buck Ruxton,20th-century_British_medical_doctors,2,22,0,0,1375
3164,Charles Rycroft,20th-century_British_medical_doctors,0,14,0,0,1106
3165,Onkar Sahota,20th-century_British_medical_doctors,0,16,2,0,1369
3166,Alex Sakula,20th-century_British_medical_doctors,4,94,14,0,5156
3167,William Sargant,20th-century_British_medical_doctors,22,2,0,0,1263
3168,Melitta Schmideberg,20th-century_British_medical_doctors,1,2,0,0,454
3169,Frank Sholl Scott,20th-century_British_medical_doctors,0,8,0,0,1168
3170,Anton Sebastianpillai,20th-century_British_medical_doctors,1,28,0,0,2643
3171,David Shaffer,20th-century_British_medical_doctors,0,4,0,0,159
3172,David Shannon (gynaecologist),20th-century_British_medical_doctors,0,10,0,0,785
3173,Seymour Sharkey,20th-century_British_medical_doctors,2,120,5,0,3874
3174,Michael Shepherd (psychiatrist),20th-century_British_medical_doctors,0,15,2,0,1704
3175,Clive Sherlock,20th-century_British_medical_doctors,20,0,0,0,1354
3176,Marian Noel Sherman,20th-century_British_medical_doctors,0,14,0,0,932
3177,Henry Edward Shortt,20th-century_British_medical_doctors,0,2,0,0,829
3178,Albert T. W. Simeons,20th-century_British_medical_doctors,2,41,2,0,3665
3179,Keith Simpson (pathologist),20th-century_British_medical_doctors,3,69,10,0,3024
3180,Eliot Slater,20th-century_British_medical_doctors,1,20,0,0,960
3181,Gerald Martin Smith,20th-century_British_medical_doctors,0,5,0,0,631
3182,H. P. Ruffell Smith,20th-century_British_medical_doctors,0,3,0,0,914
3183,"Rodney Smith, Baron Smith",20th-century_British_medical_doctors,0,14,1,0,2129
3184,Richard Smithells,20th-century_British_medical_doctors,0,5,0,0,1227
3185,Jacob Snowman,20th-century_British_medical_doctors,2,0,0,0,625
3186,Lesley Southgate,20th-century_British_medical_doctors,0,7,0,0,757
3187,Michael Spira,20th-century_British_medical_doctors,0,14,0,0,817
3188,Thomas Coke Squance,20th-century_British_medical_doctors,0,12,1,0,860
3189,David Stafford-Clark,20th-century_British_medical_doctors,0,8,0,0,965
3190,John Stallworthy (obstetrician),20th-century_British_medical_doctors,0,5,1,0,222
3191,"Trevor Stamp, 3rd Baron Stamp",20th-century_British_medical_doctors,0,3,0,0,1493
3192,"Trevor Stamp, 4th Baron Stamp",20th-century_British_medical_doctors,0,1,0,0,589
3193,John Starr (physician),20th-century_British_medical_doctors,0,4,0,0,175
3194,Reginald Statham,20th-century_British_medical_doctors,1,89,11,0,6341
3195,Bernard Halley Stewart,20th-century_British_medical_doctors,0,16,0,0,1501
3196,Roy Mackenzie Stewart,20th-century_British_medical_doctors,0,57,1,0,3123
3197,Barnett Stross,20th-century_British_medical_doctors,21,0,0,0,1192
3198,Mary Sturge,20th-century_British_medical_doctors,0,7,0,0,1000
3199,George Alexander Sutherland,20th-century_British_medical_doctors,24,0,0,0,1508
3200,Anne Szarewski,20th-century_British_medical_doctors,0,51,1,0,2257
3201,Norman Talbot,20th-century_British_medical_doctors,0,3,0,0,681
3202,Peter William Gedge Tasker,20th-century_British_medical_doctors,0,7,1,0,965
3203,"Sir Frederick Taylor, 1st Baronet",20th-century_British_medical_doctors,1,9,0,0,1181
3204,Donald Teare,20th-century_British_medical_doctors,0,10,0,0,869
3205,Huw Thomas (physician),20th-century_British_medical_doctors,0,7,0,0,903
3206,Gilbert Thompson (physician),20th-century_British_medical_doctors,0,11,0,0,565
3207,Jenkin Thompson,20th-century_British_medical_doctors,0,15,0,1,1091
3208,Marc Tischkowitz,20th-century_British_medical_doctors,0,13,2,0,2336
3209,Peter Tizard,20th-century_British_medical_doctors,0,4,0,0,198
3210,Richard Tottenham,20th-century_British_medical_doctors,0,11,0,0,591
3211,Hubert Carey Trowell,20th-century_British_medical_doctors,1,27,0,0,2019
3212,"Leslie Turnberg, Baron Turnberg",20th-century_British_medical_doctors,0,22,2,0,2192
3213,Richard Turner-Warwick,20th-century_British_medical_doctors,0,24,1,0,899
3214,Harry Moreton Stanley Turner,20th-century_British_medical_doctors,0,4,0,0,709
3215,Robert Lowry Turner,20th-century_British_medical_doctors,0,8,0,0,1381
3216,Robert Twycross,20th-century_British_medical_doctors,1,12,1,0,823
3217,Thomas Edgar Underhill,20th-century_British_medical_doctors,0,34,3,0,4758
3218,Patrick Vallance,20th-century_British_medical_doctors,0,5,0,0,1887
3219,Malcolm VandenBurg,20th-century_British_medical_doctors,15,0,0,0,1198
3220,Thérèse Vanier,20th-century_British_medical_doctors,0,14,0,0,538
3221,Lindsay Verrier,20th-century_British_medical_doctors,0,21,4,0,1066
3222,John Brian Walker,20th-century_British_medical_doctors,0,13,0,0,901
3223,Michael Ward (mountaineer),20th-century_British_medical_doctors,0,4,0,0,603
3224,Martin Ware,20th-century_British_medical_doctors,0,21,0,0,3429
3225,Edward Johnson Wayne,20th-century_British_medical_doctors,0,3,0,0,702
3226,Peter Weissberg,20th-century_British_medical_doctors,0,31,0,0,1487
3227,David Westbury,20th-century_British_medical_doctors,0,3,0,0,660
3228,Percy Charles Edward d'Erf Wheeler,20th-century_British_medical_doctors,0,2,0,0,637
3229,Harold Beckwith Whitehouse,20th-century_British_medical_doctors,0,0,0,0,118
3230,Jimmy Whitworth,20th-century_British_medical_doctors,0,10,0,0,792
3231,George Whyte-Watson,20th-century_British_medical_doctors,7,0,0,0,1463
3232,Moira Whyte,20th-century_British_medical_doctors,0,12,0,0,373
3233,Sunitha Wickramasinghe,20th-century_British_medical_doctors,31,1,3,0,1838
3234,Marcia Wilkinson,20th-century_British_medical_doctors,0,10,0,0,1009
3235,Peter Williams (physician),20th-century_British_medical_doctors,0,13,5,0,1554
3236,Peter Wilmshurst,20th-century_British_medical_doctors,45,0,2,0,5040
3237,Jane Wilson-Howarth,20th-century_British_medical_doctors,0,13,1,0,1526
3238,Clifford Wilson,20th-century_British_medical_doctors,0,25,0,0,1583
3239,Graham Malcolm Wilson,20th-century_British_medical_doctors,0,1,0,0,855
3240,William Hawkins Wilson,20th-century_British_medical_doctors,0,9,0,0,813
3241,Graham Winyard,20th-century_British_medical_doctors,41,0,0,0,2095
3242,Charlotte Wolff,20th-century_British_medical_doctors,41,0,0,0,1937
3243,Albertine Winner,20th-century_British_medical_doctors,13,1,1,0,1182
3244,Nesta Wells,20th-century_British_medical_doctors,0,2,0,0,681
3245,F. E. Wood,20th-century_British_medical_doctors,1,21,2,0,566
3246,Michael Wood (doctor),20th-century_British_medical_doctors,4,0,0,0,567
3247,Susan Wood (pharmacologist),20th-century_British_medical_doctors,0,0,0,0,52
3248,Ivy Evelyn Woodward,20th-century_British_medical_doctors,0,5,0,0,794
3249,George Millington Woodwark,20th-century_British_medical_doctors,21,1,0,0,1579
3250,Samson Wright,20th-century_British_medical_doctors,0,42,3,0,5200
3251,Ruth Wynne-Davies,20th-century_British_medical_doctors,0,13,0,0,1190
3252,Magdi Yacoub,20th-century_British_medical_doctors,0,1,0,0,670
3253,Nathaniel Edward Yorke-Davies,20th-century_British_medical_doctors,1,61,4,0,5903
3254,Sidney Clifford Brookfield Yorke,20th-century_British_medical_doctors,1,32,0,0,5864
3255,John Yudkin,20th-century_British_medical_doctors,0,0,0,0,52
3256,Liliane Ackermann,Women_microbiologists,19,2,4,1,1355
3257,Viviana Alder,Women_microbiologists,6,0,0,0,962
3258,Hattie Alexander,Women_microbiologists,19,1,0,0,1309
3259,Sousan S. Altaie,Women_microbiologists,9,0,0,1,820
3260,Huda Salih Mahdi Ammash,Women_microbiologists,15,0,2,0,2428
3261,Janelle Ayres,Women_microbiologists,7,0,0,0,2497
3262,Emily Balskus,Women_microbiologists,19,0,5,1,3514
3263,Jillian Banfield,Women_microbiologists,17,0,2,0,3380
3264,Mary Barber (bacteriologist),Women_microbiologists,44,0,1,0,1543
3265,Hazel Barton,Women_microbiologists,14,0,0,0,1706
3266,Yehudith Birk,Women_microbiologists,15,1,1,0,647
3267,Linda Birnbaum,Women_microbiologists,27,0,2,0,1927
3268,Jodi Black,Women_microbiologists,11,0,0,1,1305
3269,Mary Ann Booth,Women_microbiologists,13,2,1,0,1006
3270,Maria Elena Bottazzi,Women_microbiologists,1,0,0,0,653
3271,Sara Branham Matthews,Women_microbiologists,54,0,1,1,2662
3272,Carolyn Brooks,Women_microbiologists,39,0,1,0,1844
3273,Elizabeth Bugie,Women_microbiologists,8,0,0,0,1378
3274,Mary Bunting,Women_microbiologists,22,2,5,0,1614
3275,Colleen Cavanaugh,Women_microbiologists,37,0,7,1,2885
3276,Emmanuelle Charpentier,Women_microbiologists,22,0,2,0,8051
3277,Pascale Cossart,Women_microbiologists,10,0,0,1,1677
3278,Dorothy H. Crawford,Women_microbiologists,1,0,0,0,735
3279,Elsie Dalyell,Women_microbiologists,27,0,0,0,1492
3280,Margaret di Menna,Women_microbiologists,7,0,0,0,929
3281,Gladys Dick,Women_microbiologists,15,0,2,0,1393
3282,Margaret Dick,Women_microbiologists,39,0,1,0,1565
3283,Hazel Dockrell,Women_microbiologists,31,0,1,0,1706
3284,Cornelia Mitchell Downs,Women_microbiologists,13,0,0,0,1143
3285,Rachel Dutton,Women_microbiologists,15,0,0,1,1778
3286,Suzanne Eaton,Women_microbiologists,28,5,0,1,2164
3287,Sophia Eckerson,Women_microbiologists,17,0,0,0,1070
3288,Anna Epps,Women_microbiologists,21,0,0,1,2160
3289,Emily Erbelding,Women_microbiologists,10,0,0,0,1020
3290,Alice Catherine Evans,Women_microbiologists,38,0,0,1,3544
3291,Leone N. Farrell,Women_microbiologists,25,0,0,0,1308
3292,Mary K. Firestone,Women_microbiologists,9,0,0,1,1211
3293,JoAnne Flynn,Women_microbiologists,9,0,0,1,813
3294,Karen M. Frank,Women_microbiologists,9,0,1,1,1248
3295,Claire M. Fraser,Women_microbiologists,14,0,1,1,4598
3296,Constance Frost,Women_microbiologists,10,0,0,0,1134
3297,A. Oveta Fuller,Women_microbiologists,33,0,0,1,1704
3298,Clelia Giacobini,Women_microbiologists,6,0,1,0,1860
3299,Jane Gibson,Women_microbiologists,28,1,4,0,1680
3300,Mildred Gordon (biologist),Women_microbiologists,4,0,0,1,884
3301,Susan Gottesman,Women_microbiologists,21,0,3,1,2470
3302,Elisa Granato,Women_microbiologists,13,0,1,0,1347
3303,Jane Grimwood,Women_microbiologists,8,0,2,1,1264
3304,Helena Groot de Restrepo,Women_microbiologists,8,0,0,0,1292
3305,Ruth Hall (scientist),Women_microbiologists,12,0,0,0,1589
3306,Jo Handelsman,Women_microbiologists,16,0,0,1,1631
3307,Ann M. Hardy,Women_microbiologists,6,0,0,0,902
3308,Elizabeth Harry,Women_microbiologists,14,0,2,0,1307
3309,Caroline Harwood,Women_microbiologists,11,0,0,0,1043
3310,Elizabeth Lee Hazen,Women_microbiologists,40,0,4,1,2348
3311,Tina Henkin,Women_microbiologists,4,0,0,0,616
3312,Lisa Hensley (microbiologist),Women_microbiologists,8,0,2,0,793
3313,Fanny Hesse,Women_microbiologists,9,4,3,0,1079
3314,Sharon Hillier,Women_microbiologists,14,0,1,1,1780
3315,Virginia Hinshaw,Women_microbiologists,3,0,0,0,1050
3316,Deborah M. Hinton,Women_microbiologists,7,0,0,1,914
3317,Gladys Lounsbury Hobby,Women_microbiologists,16,0,2,1,1563
3318,Leonora A. Hohl,Women_microbiologists,13,0,0,0,918
3319,Jacqui Horswell,Women_microbiologists,7,0,0,0,1118
3320,Barbara Howlett,Women_microbiologists,6,0,0,0,1082
3321,Rosalinde Hurley,Women_microbiologists,28,1,1,0,1200
3322,Caroline Hussey,Women_microbiologists,21,0,0,0,1423
3323,Barbara Iglewski,Women_microbiologists,24,1,0,1,2649
3324,Elaine Ingham,Women_microbiologists,8,0,0,0,1211
3325,Iruka Okeke,Women_microbiologists,28,0,0,0,1492
3326,Pauline Johnson (immunologist),Women_microbiologists,8,0,0,1,1915
3327,Jacqueline Katz,Women_microbiologists,10,0,0,1,1129
3328,Amelia Kajumulo Kavaisi,Women_microbiologists,6,2,0,0,960
3329,Sabra Klein,Women_microbiologists,17,0,3,0,2104
3330,Emmy Klieneberger-Nobel,Women_microbiologists,52,5,1,1,2260
3331,Anne-Brit Kolstø,Women_microbiologists,6,0,1,0,696
3332,Sally Kornbluth,Women_microbiologists,14,0,0,1,1366
3333,Marian Koshland,Women_microbiologists,32,3,2,1,1734
3334,Carol Kumamoto,Women_microbiologists,14,0,0,0,1733
3335,Teresa Lagergård,Women_microbiologists,7,0,0,1,947
3336,Suzanne Lambin,Women_microbiologists,13,0,0,0,932
3337,Rebecca Lancefield,Women_microbiologists,50,0,1,0,2705
3338,Hilary Lappin-Scott,Women_microbiologists,33,1,0,0,1963
3339,June Lascelles,Women_microbiologists,28,1,0,0,1372
3340,Esther Lederberg,Women_microbiologists,63,3,1,0,3891
3341,Petra Levin,Women_microbiologists,8,0,0,0,793
3342,Beth Levine (physician),Women_microbiologists,7,0,0,0,1932
3343,Mary Lidstrom,Women_microbiologists,2,0,0,1,649
3344,Ragnhild A. Lothe,Women_microbiologists,7,0,0,0,712
3345,Daria Nina Love,Women_microbiologists,49,1,0,0,1746
3346,Nkandu Luo,Women_microbiologists,14,0,0,0,1768
3347,Mary Stuart MacDougall,Women_microbiologists,7,0,1,1,906
3348,Aime Mäemets,Women_microbiologists,4,0,0,0,375
3349,Jeanne Marrazzo,Women_microbiologists,12,0,1,0,1931
3350,Ulrike Mathesius,Women_microbiologists,18,0,1,0,1161
3351,Lida Holmes Mattman,Women_microbiologists,7,0,0,1,2089
3352,Elizabeth McCoy (microbiologist),Women_microbiologists,13,0,0,1,1235
3353,Susanne Melior,Women_microbiologists,10,0,0,0,1250
3354,Houra Merrikh,Women_microbiologists,20,0,0,1,1913
3355,Jill Mikucki,Women_microbiologists,9,0,1,1,1692
3356,Nancy Millis,Women_microbiologists,27,0,1,0,1426
3357,Ruth Ella Moore,Women_microbiologists,30,0,1,1,1786
3358,Samira Mubareka,Women_microbiologists,13,0,0,0,1854
3359,Alison Murray (scientist),Women_microbiologists,17,1,3,1,2357
3360,Carol A. Nacy,Women_microbiologists,10,0,0,0,989
3361,Yehudit Naot,Women_microbiologists,14,0,0,0,875
3362,Eva-Maria Neher,Women_microbiologists,20,3,0,0,1174
3363,Karen E. Nelson,Women_microbiologists,5,0,0,1,1251
3364,Edith Neumann,Women_microbiologists,17,0,3,0,892
3365,Roseli Ocampo-Friedmann,Women_microbiologists,17,0,2,0,1509
3366,Helen Matusevich Oujesky,Women_microbiologists,21,0,1,0,1139
3367,Ann C. Palmenberg,Women_microbiologists,8,0,0,1,1247
3368,Sharon Peacock,Women_microbiologists,20,0,0,0,2014
3369,Margaret Pittman,Women_microbiologists,42,2,0,1,2588
3370,Jessie Isabelle Price,Women_microbiologists,34,0,0,0,2101
3371,Agnes J. Quirk,Women_microbiologists,7,0,1,0,1364
3372,Joan Rose,Women_microbiologists,5,0,0,0,892
3373,Lucia B. Rothman-Denes,Women_microbiologists,15,0,0,0,1235
3374,Federica Sallusto,Women_microbiologists,4,0,0,0,835
3375,Abigail A. Salyers,Women_microbiologists,13,0,0,1,1946
3376,Viviana Simon,Women_microbiologists,11,0,1,0,1564
3377,Joan Slonczewski,Women_microbiologists,18,0,1,0,1637
3378,Liz Sockett,Women_microbiologists,16,0,1,0,2273
3379,Nicola Stanley-Wall,Women_microbiologists,20,0,1,0,1723
3380,Bettie Steinberg,Women_microbiologists,14,0,0,1,1314
3381,Gisela Storz,Women_microbiologists,11,0,1,1,1642
3382,Rihab Taha,Women_microbiologists,29,4,6,1,3367
3383,Julie Theriot,Women_microbiologists,5,0,0,1,1013
3384,Mel Thomson,Women_microbiologists,17,3,1,0,1427
3385,Joanna Verran,Women_microbiologists,20,1,0,0,2028
3386,Julia Vorholt,Women_microbiologists,7,0,0,0,1174
3387,Mary Voytek,Women_microbiologists,16,0,0,1,1958
3388,Margaret Werner-Washburne,Women_microbiologists,25,0,2,1,2690
3389,Sue Wickner,Women_microbiologists,11,0,3,0,1398
3390,Anna Wessels Williams,Women_microbiologists,40,4,1,0,2869
3391,Annick Wilmotte,Women_microbiologists,15,0,0,0,2045
3392,Alexandra Worden,Women_microbiologists,23,1,1,1,2720
3393,Zinaida Yermolyeva,Women_microbiologists,16,1,0,0,1561
3394,Lily Young,Women_microbiologists,19,0,2,0,1809
3395,Edric Baker,21st-century_New_Zealand_medical_doctors,0,18,2,0,1150
3396,James Bevin (cricketer),21st-century_New_Zealand_medical_doctors,0,7,0,0,759
3397,Ashley Bloomfield,21st-century_New_Zealand_medical_doctors,1,20,0,0,4500
3398,Mel Brieseman,21st-century_New_Zealand_medical_doctors,0,15,2,0,415
3399,Mason Durie (psychiatrist),21st-century_New_Zealand_medical_doctors,0,19,0,0,1531
3400,Felicity Goodyear-Smith,21st-century_New_Zealand_medical_doctors,15,1,1,0,5654
3401,Matire Harwood,21st-century_New_Zealand_medical_doctors,22,2,0,0,2176
3402,Lester Levy,21st-century_New_Zealand_medical_doctors,0,19,0,0,1158
3403,Caroline McElnay,21st-century_New_Zealand_medical_doctors,6,0,0,0,1062
3404,Lance O'Sullivan (doctor),21st-century_New_Zealand_medical_doctors,1,36,1,0,2930
3405,Norma Restieaux,21st-century_New_Zealand_medical_doctors,2,0,0,0,712
3406,Yihua An,20th-century_Chinese_physicians,0,3,0,0,485
3407,Ba Denian,20th-century_Chinese_physicians,0,7,0,0,889
3408,Buwei Yang Chao,20th-century_Chinese_physicians,39,2,3,0,1893
3409,Lee Sun Chau,20th-century_Chinese_physicians,10,4,2,0,2491
3410,Chen Hu (physician),20th-century_Chinese_physicians,0,15,1,1,1306
3411,Chen Wei (medical scientist),20th-century_Chinese_physicians,10,0,0,0,1737
3412,Chen Zhongwei,20th-century_Chinese_physicians,0,9,0,0,1337
3413,Chen Zhu,20th-century_Chinese_physicians,0,22,0,1,2327
3414,Deng Tietao,20th-century_Chinese_physicians,0,10,0,0,846
3415,Feng Jifeng,20th-century_Chinese_physicians,0,3,0,0,668
3416,Richard Frey,20th-century_Chinese_physicians,0,38,0,0,1739
3417,Nelson Fu,20th-century_Chinese_physicians,0,7,0,0,1155
3418,Gao Changqing,20th-century_Chinese_physicians,0,15,0,0,1241
3419,Guo Mei,20th-century_Chinese_physicians,13,0,0,0,2710
3420,Han Qing-quan,20th-century_Chinese_physicians,0,3,1,0,719
3421,He Luli,20th-century_Chinese_physicians,19,41,3,0,3176
3422,Patrick Ho,20th-century_Chinese_physicians,0,20,1,0,1944
3423,Huang Jiasi,20th-century_Chinese_physicians,1,50,1,0,2592
3424,Jiang Shaoji,20th-century_Chinese_physicians,0,14,1,0,990
3425,Jiang Yanyong,20th-century_Chinese_physicians,0,13,1,0,2425
3426,Lan Xichun,20th-century_Chinese_physicians,0,6,0,0,229
3427,Cheng Li,20th-century_Chinese_physicians,0,19,0,1,1612
3428,Li Lanjuan,20th-century_Chinese_physicians,26,0,1,0,4472
3429,Li Lianda,20th-century_Chinese_physicians,0,22,0,0,1341
3430,Liang Wudong,20th-century_Chinese_physicians,0,3,0,0,1106
3431,Liang Boqiang,20th-century_Chinese_physicians,0,1,0,0,483
3432,Robert Lim,20th-century_Chinese_physicians,0,14,0,0,1217
3433,Lin Jiamei,20th-century_Chinese_physicians,6,3,1,0,1349
3434,Lin Qiaozhi,20th-century_Chinese_physicians,41,6,0,0,2351
3435,Liu Liang,20th-century_Chinese_physicians,0,9,0,0,1230
3436,Liu Menggeng,20th-century_Chinese_physicians,0,4,0,0,632
3437,Fan Lu,20th-century_Chinese_physicians,6,0,0,0,623
3438,Lu Shi'e,20th-century_Chinese_physicians,0,4,0,0,947
3439,Ma Haide,20th-century_Chinese_physicians,0,44,2,0,2655
3440,Tsang-gi Ni,20th-century_Chinese_physicians,0,24,0,0,971
3441,Niu Lizhi,20th-century_Chinese_physicians,0,4,0,0,1196
3442,Qian Jiaqi,20th-century_Chinese_physicians,0,6,0,0,880
3443,Qiu Fazu,20th-century_Chinese_physicians,1,24,4,0,1091
3444,Ren Xiaoping,20th-century_Chinese_physicians,0,14,0,0,1384
3445,Shang Hong,20th-century_Chinese_physicians,2,2,0,0,978
3446,Shen Hongbing,20th-century_Chinese_physicians,0,6,0,0,1099
3447,Shen Ziyin,20th-century_Chinese_physicians,0,16,0,0,1105
3448,Louis Shih,20th-century_Chinese_physicians,0,5,0,0,260
3449,Szeming Sze,20th-century_Chinese_physicians,1,19,2,0,1636
3450,David Todd (haematologist),20th-century_Chinese_physicians,0,1,0,0,828
3451,Joanna Tse,20th-century_Chinese_physicians,9,1,0,0,1557
3452,Charles Wang (physician),20th-century_Chinese_physicians,0,13,0,0,1139
3453,Wang Jun (physician),20th-century_Chinese_physicians,0,7,0,0,1098
3454,Wang Qi (physician),20th-century_Chinese_physicians,0,0,0,0,976
3455,Wang Shizhen (physician),20th-century_Chinese_physicians,0,19,0,0,1497
3456,Wang Zhenyi,20th-century_Chinese_physicians,0,9,0,0,1225
3457,Wu Lien-teh,20th-century_Chinese_physicians,2,40,5,0,4251
3458,Wu Mengchao,20th-century_Chinese_physicians,0,4,0,0,1358
3459,Wu Yun An,20th-century_Chinese_physicians,0,0,0,0,636
3460,Yang Chongrui,20th-century_Chinese_physicians,15,0,1,0,1053
3461,Yang Yongxin,20th-century_Chinese_physicians,0,38,7,0,4504
3462,Youxin Yang,20th-century_Chinese_physicians,24,0,1,1,3179
3463,Yao Zhen,20th-century_Chinese_physicians,0,8,0,0,1490
3464,Zhang Boli (physician),20th-century_Chinese_physicians,0,5,0,0,1108
3465,John J. Zhang,20th-century_Chinese_physicians,3,30,1,1,2577
3466,Zhang Qi (physician),20th-century_Chinese_physicians,0,12,0,0,868
3467,Jian Zhou,20th-century_Chinese_physicians,0,18,1,0,2433
3468,Zhou Yongchang,20th-century_Chinese_physicians,0,4,0,0,666
3469,Zhu Futang,20th-century_Chinese_physicians,1,8,0,0,1236
3470,Rita El Khayat,21st-century_Moroccan_physicians,42,10,6,0,3017
3471,El Hossein El Ouardi,21st-century_Moroccan_physicians,0,2,1,0,936
3472,Fátima Aburto Baselga,21st-century_Spanish_physicians,4,0,0,0,704
3473,Jose Bagan,21st-century_Spanish_physicians,0,2,0,0,603
3474,María Belón,21st-century_Spanish_physicians,48,3,2,0,2174
3475,Jorge Cervós-Navarro,21st-century_Spanish_physicians,0,2,0,0,932
3476,Bonaventura Clotet,21st-century_Spanish_physicians,0,5,0,0,622
3477,Juan Cutillas,21st-century_Spanish_physicians,0,17,1,0,1643
3478,Luis Falcón,21st-century_Spanish_physicians,0,20,1,0,2789
3479,Josep Figueras,21st-century_Spanish_physicians,0,14,0,1,841
3480,Luciano García Alén,21st-century_Spanish_physicians,0,3,0,0,160
3481,Julio Iglesias Sr.,21st-century_Spanish_physicians,7,15,1,0,1153
3482,Marti Bonmati Luis,21st-century_Spanish_physicians,0,12,0,1,1886
3483,Miguel Ángel Martínez-González,21st-century_Spanish_physicians,0,7,0,0,1499
3484,Lorenzo Mediano,21st-century_Spanish_physicians,0,1,0,0,1012
3485,Victoriano Ríos Pérez,21st-century_Spanish_physicians,0,3,0,0,771
3486,"Carlos Ruiz (footballer, born 1948)",21st-century_Spanish_physicians,0,12,0,0,1578
3487,Antonio Salvá,21st-century_Spanish_physicians,0,4,0,0,794
3488,Ángel Salvatierra,21st-century_Spanish_physicians,0,8,0,0,611
3489,Miguel Sarrias Domingo,21st-century_Spanish_physicians,0,13,0,0,1041
3490,Carlos Simon (gynaecologist),21st-century_Spanish_physicians,0,47,1,0,2811
3491,Jorge Soler González,21st-century_Spanish_physicians,0,14,0,0,1389
3492,Nicolás Terrados,21st-century_Spanish_physicians,0,13,0,0,691
3493,Miguel Lucas Tomás,21st-century_Spanish_physicians,0,1,0,0,608
3494,José María Valderas Martínez,21st-century_Spanish_physicians,0,15,0,0,1353
3495,Julio Vallejo Ruiloba,21st-century_Spanish_physicians,0,17,9,0,1542
3496,Andrea Ablasser,21st-century_women_physicians,31,0,0,0,1464
3497,Ameyo Adadevoh,21st-century_women_physicians,42,4,1,0,2875
3498,Leyla Adamyan,21st-century_women_physicians,0,0,0,0,338
3499,Miriam Adhikari,21st-century_women_physicians,5,0,0,0,768
3500,Amita Aggarwal,21st-century_women_physicians,25,0,0,0,2343
3501,Fardosa Ahmed,21st-century_women_physicians,13,0,0,0,1021
3502,Ai Fen,21st-century_women_physicians,14,0,1,0,4182
3503,Danièle Aron-Rosa,21st-century_women_physicians,30,0,0,0,2204
3504,Maureen Baker,21st-century_women_physicians,24,0,1,0,1358
3505,Halima Bashir,21st-century_women_physicians,34,2,1,0,1237
3506,Elenita Binay,21st-century_women_physicians,4,0,1,0,661
3507,Sandra Black,21st-century_women_physicians,11,0,0,0,959
3508,Jocelyne Bloch,21st-century_women_physicians,4,0,1,0,904
3509,Roberta Bondar,21st-century_women_physicians,20,0,0,0,3134
3510,Els Borst,21st-century_women_physicians,61,16,4,0,4216
3511,Jannie Borst,21st-century_women_physicians,16,0,0,1,1553
3512,Hande Özsan Bozatlı,21st-century_women_physicians,16,0,0,0,1053
3513,Yasemin Bradley,21st-century_women_physicians,16,0,0,0,1372
3514,Ola Brown,21st-century_women_physicians,24,0,0,0,2463
3515,Catherine Calderwood,21st-century_women_physicians,28,0,3,0,2112
3516,Eva Carneiro,21st-century_women_physicians,23,5,1,0,2852
3517,Nadine Caron,21st-century_women_physicians,10,0,0,0,2517
3518,Hilary Cass,21st-century_women_physicians,7,0,0,0,809
3519,Chuang Shu-chi,21st-century_women_physicians,40,2,2,0,1941
3520,Banoo Jehangir Coyaji,21st-century_women_physicians,36,1,3,0,2958
3521,Hélène Daneault,21st-century_women_physicians,3,0,0,0,603
3522,Sally Davies (doctor),21st-century_women_physicians,35,0,3,0,3638
3523,Aysel Ekşi,21st-century_women_physicians,13,0,0,0,1582
3524,Judith Esser-Mittag,21st-century_women_physicians,6,0,3,0,1361
3525,Pamela Evans,21st-century_women_physicians,20,0,0,0,1815
3526,"Ilora Finlay, Baroness Finlay of Llandaff",21st-century_women_physicians,13,0,1,0,1534
3527,Sinéad Flanagan (Rose of Tralee),21st-century_women_physicians,12,1,1,0,3137
