,page,field,count_female_words,count_male_words,count_nonbinary_words,doctorate,len_page
103,Fernando Alvarez (economist),20th-century_economists,0,8,2,1,1602
104,Alfred Amonn,20th-century_economists,0,2,0,0,461
105,Catalina Amuedo-Dorantes,20th-century_economists,12,0,2,0,2824
106,Kym Anderson,20th-century_economists,0,8,0,0,1361
107,László Andor,20th-century_economists,0,12,1,0,1445
108,Clemens August Andreae,20th-century_economists,0,3,0,0,1330
109,Harald Magnus Andreassen,20th-century_economists,0,7,0,0,634
110,Philip Andrews,20th-century_economists,0,14,0,0,1096
111,Kazimieras Antanavičius (economist),20th-century_economists,0,13,0,0,1020
112,István Antos,20th-century_economists,0,6,0,0,353
113,Masanao Aoki,20th-century_economists,0,6,0,1,1149
114,Erich Apel,20th-century_economists,1,95,13,0,6094
115,Artashes Arakelian,20th-century_economists,0,3,0,0,183
116,Azucena Arbeleche,20th-century_economists,9,3,0,0,1160
117,George Christopher Archibald,20th-century_economists,0,16,0,0,1081
118,Franco Archibugi,20th-century_economists,0,30,0,0,3245
119,Manuel Arellano,20th-century_economists,0,7,0,1,1896
120,Pérsio Arida,20th-century_economists,0,9,0,1,1106
121,Thomas Armbrüster,20th-century_economists,0,14,0,1,1184
122,Ana Lucía Armijos,20th-century_economists,21,2,4,0,2045
123,Heinz Arndt,20th-century_economists,1,17,0,0,1732
124,Ya'akov Arnon,20th-century_economists,0,13,2,0,1018
125,Enrique R. Arzac,20th-century_economists,0,3,0,1,841
126,Athanasios Asimakopulos,20th-century_economists,0,27,4,0,4202
127,Tony Aspromourgos,20th-century_economists,0,10,0,1,1208
128,Tony Atkinson,20th-century_economists,0,79,1,0,5443
129,Odd Aukrust,20th-century_economists,0,8,0,0,679
130,George Ayittey,20th-century_economists,1,8,1,1,1296
131,Costas Azariadis,20th-century_economists,0,13,0,0,1392
132,Urban Bäckström,20th-century_economists,0,10,0,0,997
133,Christoph Badelt,20th-century_economists,0,4,0,0,800
134,Paolo Baffi,20th-century_economists,0,7,0,0,1171
135,Gösta Bagge,20th-century_economists,0,7,0,0,825
136,Mamadou Boye Bah,20th-century_economists,0,7,1,0,765
137,Nikolai Baibakov,20th-century_economists,0,13,0,0,1177
138,Erkin Bairam,20th-century_economists,0,15,0,0,925
139,Yves Balasko,20th-century_economists,0,13,0,0,836
140,Béla Balassa,20th-century_economists,0,8,0,1,1351
141,Ousmane Baldé,20th-century_economists,0,2,0,0,645
142,James Ball (economist),20th-century_economists,0,4,0,0,1111
143,"Thomas Balogh, Baron Balogh",20th-century_economists,1,7,0,0,1381
144,Oriana Bandiera,20th-century_economists,28,1,3,0,3226
145,Giuseppe Barbero,20th-century_economists,0,13,0,0,1700
146,Nelson Barbosa,20th-century_economists,2,5,0,0,1060
147,Abul Barkat (economist),20th-century_economists,0,13,1,0,1348
148,Alexandru Bârlădeanu,20th-century_economists,3,71,0,0,3505
149,Enrico Barone,20th-century_economists,0,20,0,0,1277
150,Süleyman Başak,20th-century_economists,0,9,0,1,1047
151,Jean Baudrillard,20th-century_economists,0,117,12,0,9565
152,Vladimir Bazarov,20th-century_economists,0,34,3,0,3988
153,Paul Beaudry,20th-century_economists,0,4,0,1,771
154,Richard Beckhard,20th-century_economists,0,4,0,0,1081
155,Sopubek Begaliev,20th-century_economists,0,16,0,0,630
156,Julian Bell,20th-century_economists,0,23,1,0,1424
157,Alberto Beneduce,20th-century_economists,0,26,0,0,1653
158,David Bensusan-Butt,20th-century_economists,0,14,0,0,1331
159,Gerard J. van den Berg,20th-century_economists,0,14,0,1,1047
160,Eitan Berglas,20th-century_economists,0,1,0,0,685
161,Albert Bergstrom,20th-century_economists,0,11,0,0,658
162,Alvin Bernard,20th-century_economists,0,7,0,0,786
163,William Bernbach,20th-century_economists,0,29,15,0,2418
164,Bertram Schefold,20th-century_economists,0,48,1,0,2495
165,Marianne Bertrand,20th-century_economists,18,1,14,1,5698
166,Tim Besley,20th-century_economists,0,27,0,0,2927
167,Ernst van der Beugel,20th-century_economists,0,7,0,1,851
168,Abdoulaye Bio Tchané,20th-century_economists,0,5,0,0,1037
169,Juul Bjerke,20th-century_economists,0,7,0,0,710
170,Nina Bjerkedal,20th-century_economists,2,0,0,0,665
171,Duncan Black,20th-century_economists,0,9,0,0,1060
172,Courtney Blackman,20th-century_economists,0,7,0,1,808
173,Vincent Bladen,20th-century_economists,0,8,0,0,1218
174,Olivier Blanchard,20th-century_economists,0,11,2,1,3759
175,Herminio Blanco Mendoza,20th-century_economists,0,13,0,1,2078
176,Rodolphe Blavy,20th-century_economists,0,21,0,0,2544
177,Marshall E. Blume,20th-century_economists,0,5,0,0,868
178,Gerold Blümle,20th-century_economists,0,8,0,0,505
179,Richard Blundell,20th-century_economists,0,20,1,0,2572
180,Daniela Bobeva,20th-century_economists,12,0,0,0,1041
181,Czesław Bobrowski,20th-century_economists,0,36,0,0,1942
182,Gunnar Bøe,20th-century_economists,0,39,1,0,1422
183,Alexander Bogdanov,20th-century_economists,2,128,8,0,6456
184,Franz Böhm,20th-century_economists,0,24,0,0,6568
185,James Bonar (civil servant),20th-century_economists,0,9,0,0,1236
186,Stephen Bond,20th-century_economists,0,1,0,0,741
187,Olga Bondareva,20th-century_economists,9,0,0,0,2043
188,Laurence Boone,20th-century_economists,17,2,0,0,2122
189,Korkut Boratav,20th-century_economists,0,20,0,0,950
190,Karl H. Borch,20th-century_economists,0,1,0,0,642
191,Helen Bosanquet,20th-century_economists,26,3,5,0,1724
192,Ester Boserup,20th-century_economists,39,4,0,0,3826
193,Gilbert de Botton,20th-century_economists,0,12,1,0,1279
194,Marcel Boyer,20th-century_economists,0,5,0,1,1106
195,Miguel Boyer,20th-century_economists,1,31,3,0,2597
196,Jozef Martin Paul van Brabant,20th-century_economists,0,12,0,1,1638
197,Russell Frederick Bretherton,20th-century_economists,0,14,2,0,2167
198,Carl Brinkmann,20th-century_economists,0,2,0,0,249
199,Erik Brofoss,20th-century_economists,0,8,0,0,1156
